We have attempted to match the data in Sample_Data/REXS-Database/FVA_wind-turbine/fva_wind-turbine_1-2.rexsj to the data in Sample_Data/REXS-Database/FVA_wind-turbine/fva_wind-turbine_1-2_export.rexsj. 
384/418 components and 422/492 relations from the first data model were matched. 
384/405 components and 422/470 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID  	Type                                  	|	ID  	Type                                  
1   	gear_unit                             	|	1   	gear_unit                             
2   	gear_casing                           	|	2   	gear_casing                           
3   	planet_carrier                        	|	3   	planet_carrier                        
4   	shaft                                 	|	4   	shaft                                 
6   	shaft                                 	|	6   	shaft                                 
9   	planetary_stage                       	|	9   	planetary_stage                       
12  	shaft                                 	|	12  	shaft                                 
22  	cylindrical_gear                      	|	22  	cylindrical_gear                      
24  	ring_gear                             	|	24  	ring_gear                             
25  	rolling_bearing_with_catalog_geometry 	|	25  	rolling_bearing_with_catalog_geometry 
27  	external_load                         	|	27  	external_load                         
28  	shaft                                 	|	28  	shaft                                 
31  	switchable_coupling                   	|	31  	switchable_coupling                   
33  	side_plate                            	|	33  	side_plate                            
34  	side_plate                            	|	34  	side_plate                            
35  	coupling                              	|	35  	coupling                              
36  	coupling                              	|	36  	coupling                              
41  	rolling_bearing_with_catalog_geometry 	|	41  	rolling_bearing_with_catalog_geometry 
42  	shaft                                 	|	42  	shaft                                 
44  	switchable_coupling                   	|	44  	switchable_coupling                   
55  	rolling_bearing_with_detailed_geometry	|	55  	rolling_bearing_with_detailed_geometry
56  	rolling_bearing_with_detailed_geometry	|	56  	rolling_bearing_with_detailed_geometry
57  	cylindrical_stage                     	|	57  	cylindrical_stage                     
58  	shaft                                 	|	58  	shaft                                 
60  	cylindrical_gear                      	|	60  	cylindrical_gear                      
61  	cylindrical_gear                      	|	61  	cylindrical_gear                      
66  	cylindrical_stage                     	|	66  	cylindrical_stage                     
67  	shaft                                 	|	67  	shaft                                 
69  	cylindrical_gear                      	|	69  	cylindrical_gear                      
70  	cylindrical_gear                      	|	70  	cylindrical_gear                      
77  	rolling_bearing_with_detailed_geometry	|	77  	rolling_bearing_with_detailed_geometry
78  	rolling_bearing_with_detailed_geometry	|	78  	rolling_bearing_with_detailed_geometry
79  	rolling_bearing_with_detailed_geometry	|	79  	rolling_bearing_with_detailed_geometry
80  	rolling_bearing_with_detailed_geometry	|	80  	rolling_bearing_with_detailed_geometry
81  	rolling_bearing_with_detailed_geometry	|	81  	rolling_bearing_with_detailed_geometry
82  	external_load                         	|	82  	external_load                         
83  	lubricant                             	|	83  	lubricant                             
93  	stage_gear_data                       	|	93  	stage_gear_data                       
94  	stage_gear_data                       	|	94  	stage_gear_data                       
95  	stage_gear_data                       	|	95  	stage_gear_data                       
98  	cylindrical_stage                     	|	2319	cylindrical_stage                     
99  	cylindrical_stage                     	|	2320	cylindrical_stage                     
101 	stage_gear_data                       	|	2322	stage_gear_data                       
104 	stage_gear_data                       	|	2325	stage_gear_data                       
108 	cylindrical_stage                     	|	2329	cylindrical_stage                     
111 	stage_gear_data                       	|	2332	stage_gear_data                       
113 	stage_gear_data                       	|	2334	stage_gear_data                       
114 	stage_gear_data                       	|	2335	stage_gear_data                       
115 	rolling_bearing_with_catalog_geometry 	|	2339	rolling_bearing_with_catalog_geometry 
116 	rolling_bearing_with_catalog_geometry 	|	2340	rolling_bearing_with_catalog_geometry 
117 	rolling_bearing_with_catalog_geometry 	|	2341	rolling_bearing_with_catalog_geometry 
118 	rolling_bearing_with_catalog_geometry 	|	2351	rolling_bearing_with_catalog_geometry 
119 	rolling_bearing_with_catalog_geometry 	|	2352	rolling_bearing_with_catalog_geometry 
120 	rolling_bearing_with_catalog_geometry 	|	2353	rolling_bearing_with_catalog_geometry 
121 	shaft                                 	|	2342	shaft                                 
122 	shaft                                 	|	2343	shaft                                 
123 	shaft                                 	|	2344	shaft                                 
124 	shaft                                 	|	2336	shaft                                 
125 	shaft                                 	|	2337	shaft                                 
126 	shaft                                 	|	2338	shaft                                 
128 	cylindrical_gear                      	|	2355	cylindrical_gear                      
129 	cylindrical_gear                      	|	2356	cylindrical_gear                      
130 	coupling                              	|	2345	coupling                              
131 	coupling                              	|	2346	coupling                              
132 	coupling                              	|	2347	coupling                              
133 	coupling                              	|	2348	coupling                              
134 	coupling                              	|	2349	coupling                              
289 	rack_shaped_tool                      	|	289 	rack_shaped_tool                      
295 	cutter_wheel_tool                     	|	295 	cutter_wheel_tool                     
1142	material                              	|	1142	material                              
1144	material                              	|	1144	material                              
1225	lubricant                             	|	1225	lubricant                             
1226	lubricant                             	|	1226	lubricant                             
1929	rolling_bearing_row                   	|	1928	rolling_bearing_row                   
1932	rolling_bearing_row                   	|	1932	rolling_bearing_row                   
1935	rolling_bearing_row                   	|	1935	rolling_bearing_row                   
1936	rolling_bearing_row                   	|	1936	rolling_bearing_row                   
1937	rolling_bearing_row                   	|	1937	rolling_bearing_row                   
1938	rolling_bearing_row                   	|	1938	rolling_bearing_row                   
1939	rolling_bearing_row                   	|	1939	rolling_bearing_row                   
1940	rolling_bearing_row                   	|	1940	rolling_bearing_row                   
1941	rolling_bearing_row                   	|	1941	rolling_bearing_row                   
1942	rolling_bearing_row                   	|	1942	rolling_bearing_row                   
1943	rolling_bearing_row                   	|	1943	rolling_bearing_row                   
1944	rolling_bearing_row                   	|	1944	rolling_bearing_row                   
1945	rolling_bearing_row                   	|	1945	rolling_bearing_row                   
1946	rolling_bearing_row                   	|	1946	rolling_bearing_row                   
1956	rack_shaped_tool                      	|	1956	rack_shaped_tool                      
1957	rolling_element                       	|	2357	rolling_element                       
1958	rolling_element                       	|	2358	rolling_element                       
1959	rolling_element                       	|	2359	rolling_element                       
1960	rolling_element                       	|	2360	rolling_element                       
1961	rolling_element                       	|	2361	rolling_element                       
1962	rolling_element                       	|	2362	rolling_element                       
1963	rolling_element                       	|	2363	rolling_element                       
1964	rolling_element                       	|	2364	rolling_element                       
1965	rolling_element                       	|	2365	rolling_element                       
1966	rolling_element                       	|	2366	rolling_element                       
1967	rolling_element                       	|	2367	rolling_element                       
1968	rolling_element                       	|	2368	rolling_element                       
1969	rolling_element                       	|	2369	rolling_element                       
1970	rolling_element                       	|	2370	rolling_element                       
1971	rolling_element                       	|	2371	rolling_element                       
1972	rolling_element                       	|	2372	rolling_element                       
1973	rolling_element                       	|	2373	rolling_element                       
1974	rolling_element                       	|	2374	rolling_element                       
1975	rolling_element                       	|	2375	rolling_element                       
